SERIAL_NUMBER,DATE,HUMS_TMP_FCT1,HUMS_NB_EVENT_FCT1,HUMS_TMP_FCT2,HUMS_NB_EVENT_FCT2,HUMS_TMP_FCT3,HUMS_NB_EVENT_FCT3,HUMS_MIN_TEMPERATURE_FCT4,HUMS_MAX_TEMPERATURE_FCT4
SN-A010,2025-05-08,35.4,7,58.0,12,38.0,0,11.3,70.3
SN-A010,2025-06-18,44.3,1,45.4,0,31.6,6,14.9,68.0
SN-A010,2025-07-28,46.8,9,58.6,10,0,0,0,0
SN-A010,2026-01-04,44.2,,55.4,6,0,0,23.5,77.7
SN-A010,2026-02-03,39.8,2,64.7,11,49.9,6,21.9,75.4
SN-A011,2025-02-20,53.3,9,49.9,1,48.7,3,22.1,63.2
SN-A011,2025-03-04,54.2,3,52.7,6,30.5,3,19.6,74.3
SN-A011,2025-03-04,44.0,6,49.1,1,31.8,8,17.0,66.9
SN-A011,2025-03-30,52.6,0,61.0,3,39.1,1,18.7,74.8
SN-A011,2025-05-14,47.1,8,0,0,46.0,4,17.7,68.0
SN-A011,2025-08-28,44.9,0,47.9,11,36.0,2,18.9,76.8
SN-A011,2025-09-21,40.5,8,48.6,11,0,0,15.6,63.1
SN-A011,2025-11-02,0,0,50.6,8,38.0,1,22.6,78.8
SN-A011,2025-11-18,38.1,7,52.6,8,33.4,5,14.6,72.0
SN-A011,2026-01-12,0,0,64.6,3,35.6,4,10.7,62.5
SN-A011,2026-01-15,52.1,4,0,0,42.7,0,22.4,64.4
SN-A011,2026-01-28,42.4,6,0,0,45.1,5,22.7,77.2
SN-A012,2025-01-19,39.8,1,64.4,8,32.6,0,18.4,79.3
SN-A012,2025-03-05,44.4,6,63.2,4,37.4,7,14.4,65.9
SN-A012,2025-03-12,0,0,59.4,8,37.0,8,13.2,77.0
SN-A012,2025-05-03,42.0,3,58.9,5,31.5,3,0,0
SN-A012,2025-07-02,0,0,57.3,8,37.1,4,18.8,64.4
SN-A012,2025-07-05,0,0,51.8,12,30.9,0,21.6,78.7
SN-A012,2025-07-14,0,0,0,0,0,0,0,0
SN-A012,2025-07-19,47.6,9,52.5,10,47.0,0,11.4,71.0
SN-A012,2025-07-22,48.6,0,63.8,0,34.3,0,13.1,79.5
SN-A012,2025-08-18,47.8,0,53.1,12,49.7,8,23.9,67.8
SN-A012,2025-09-28,46.3,8,51.0,11,40.8,0,13.1,66.8
SN-A012,2025-12-23,51.0,0,63.3,11,43.8,6,21.8,65.5
SN-A012,2025-12-26,36.6,10,45.6,4,44.1,1,21.7,75.6
SN-A012,2026-01-12,42.5,0,55.4,5,33.1,6,0,0
SN-A013,2025-01-19,0,0,0,0,0,0,0,0
SN-A013,2025-05-25,46.5,6,46.1,11,32.8,3,24.7,66.2
SN-A013,2025-05-30,0,0,0,0,0,0,0,0
SN-A013,2025-06-02,0,0,0,0,0,0,0,0
SN-A013,2025-07-20,49.9,4,54.7,0,43.5,4,0,0
SN-A013,2025-07-29,45.2,4,64.2,4,38.2,4,15.4,76.2
SN-A013,2025-09-13,0,0,0,0,46.4,8,10.9,61.2
SN-A013,2025-12-04,43.5,10,60.9,3,0,0,13.4,66.9
SN-A014,2025-04-15,38.2,4,60.1,2,38.0,0,15.3,65.6
SN-A014,2025-05-25,44.2,1,49.4,4,36.2,1,14.5,70.4
SN-A014,2025-07-07,46.9,1,63.6,3,39.7,1,24.0,79.0
SN-A014,2025-08-08,0,0,63.1,11,38.5,5,0,0
SN-A014,2025-11-24,43.6,7,60.6,7,32.1,5,24.4,69.4
SN-A014,2025-12-23,45.6,7,60.4,10,49.8,5,11.1,61.1
SN-A014,2026-01-23,45.4,10,50.1,1,42.7,0,0,0
SN-A015,2025-01-12,35.1,9,51.6,5,41.3,2,0,0
SN-A015,2025-01-21,0,0,0,0,0,0,0,0
SN-A015,2025-03-16,52.2,1,45.1,7,0,0,21.4,78.4
SN-A015,2025-05-07,52.7,0,64.0,4,45.7,6,12.5,62.2
SN-A015,2025-06-16,54.7,0,60.6,8,36.4,5,16.2,68.9
SN-A015,2025-07-18,41.6,7,48.9,12,31.4,0,12.4,69.3
SN-A015,2025-07-28,54.3,0,52.4,11,31.9,2,23.9,60.6
SN-A015,2025-08-08,0,0,56.5,9,35.5,1,10.0,62.3
SN-A015,2025-09-05,38.4,8,57.3,11,0,0,20.4,60.2
SN-A015,2025-09-16,0,0,54.1,2,39.6,7,18.0,67.2
SN-A015,2025-10-21,49.9,0,50.7,7,33.0,1,21.7,67.1
SN-A015,2025-11-08,37.9,8,64.5,6,30.1,8,0,0
SN-A015,2025-11-08,41.9,6,55.5,9,49.9,3,12.0,62.1
SN-A015,2025-12-06,0,0,0,0,0,0,0,0
SN-A015,2025-12-12,48.9,4,57.8,0,40.8,6,22.2,72.2
SN-A015,2026-01-05,0,0,62.3,9,49.5,8,18.6,63.6
SN-A015,2026-01-26,45.4,0,52.8,4,34.1,0,0,0
SN-A016,2025-02-06,41.7,2,54.7,3,37.7,4,21.3,73.4
SN-A016,2025-04-18,49.0,10,0,0,46.8,3,17.1,79.4
SN-A016,2025-04-24,0,0,0,0,0,0,0,0
SN-A016,2025-05-27,45.1,3,0,0,33.4,2,10.6,63.8
SN-A016,2025-07-17,44.3,1,56.4,7,43.1,6,13.7,74.4
SN-A016,2025-07-24,44.9,0,64.2,0,32.6,2,13.0,77.3
SN-A016,2025-07-27,46.4,6,52.9,10,34.0,2,23.7,68.5
SN-A016,2025-08-14,42.1,0,60.1,5,31.7,0,10.1,79.9
SN-A016,2025-10-03,52.1,0,63.5,1,42.7,0,13.7,60.1
SN-A016,2025-10-11,0,0,49.9,1,43.6,8,0,0
SN-A016,2025-10-21,54.6,2,64.1,8,0,0,19.0,64.8
SN-A016,2025-10-22,48.4,4,57.1,10,0,0,10.9,67.6
SN-A016,2026-01-19,41.1,4,59.8,4,40.4,1,18.6,79.2
SN-A016,2026-01-31,38.6,0,62.5,10,31.8,6,16.0,60.8
SN-A017,2025-01-09,54.0,7,61.1,1,0,0,24.2,77.6
SN-A017,2025-01-14,45.0,2,0,0,40.5,7,18.1,73.8
SN-A017,2025-01-30,39.8,4,51.3,9,39.1,7,15.4,78.1
SN-A017,2025-02-12,50.2,9,62.7,10,35.4,8,18.9,69.8
SN-A017,2025-03-13,35.7,6,53.1,6,0,0,24.5,74.7
SN-A017,2025-03-31,53.5,10,64.6,10,43.2,4,10.3,74.2
SN-A017,2025-05-01,47.2,9,63.3,6,36.0,0,24.1,63.7
SN-A017,2025-05-10,40.9,8,53.5,1,49.4,6,21.8,60.7
SN-A017,2025-06-06,0,0,0,0,0,0,0,0
SN-A017,2025-06-07,40.4,4,57.9,1,33.2,1,11.3,70.2
SN-A017,2025-06-21,54.2,8,54.6,9,37.8,1,17.1,62.9
SN-A017,2025-09-15,38.8,8,51.7,7,39.5,6,20.3,72.0
SN-A017,2025-09-28,37.2,8,52.6,8,40.6,0,19.2,68.4
SN-A017,2025-10-28,0,0,0,0,0,0,0,0
SN-A017,2025-11-16,40.0,6,62.3,10,48.2,6,16.9,64.2
SN-A017,2025-12-14,52.2,3,62.2,2,35.6,1,20.0,67.8
SN-A017,2025-12-23,43.4,0,54.6,4,39.2,5,18.4,75.5
SN-A018,2025-01-03,36.9,7,54.3,11,42.5,7,14.4,63.5
SN-A018,2025-03-18,48.2,1,47.6,6,35.6,2,22.1,65.7
SN-A018,2025-04-01,53.8,6,56.2,5,34.2,0,21.5,68.3
SN-A018,2025-04-02,44.1,3,55.3,5,0,0,23.1,78.0
SN-A018,2025-04-12,44.2,10,63.4,1,35.3,5,12.1,66.3
SN-A018,2025-05-23,45.7,8,63.0,10,45.9,0,16.8,62.2
SN-A018,2025-06-12,50.1,2,64.2,4,49.2,6,23.0,66.9
SN-A018,2025-06-18,37.3,10,48.8,1,38.1,2,15.2,62.9
SN-A018,2025-08-19,47.7,0,50.0,4,42.9,7,24.2,76.4
SN-A018,2025-09-17,41.1,5,54.4,8,43.7,5,11.3,75.6
SN-A018,2025-11-08,37.5,5,53.2,10,32.5,8,21.3,64.6
SN-A018,2025-11-19,50.0,3,56.4,4,34.6,4,15.5,63.0
SN-A018,2025-12-02,0,0,61.9,6,31.8,0,23.2,78.1
SN-A018,2025-12-16,42.0,8,45.5,3,44.9,7,0,0
SN-A018,2025-12-18,47.6,9,57.7,0,30.9,2,14.2,60.9
SN-A018,2026-01-24,55.0,1,60.3,9,32.3,3,15.7,66.7
SN-A019,2025-03-04,0,0,0,0,0,0,0,0
SN-A019,2025-05-19,46.6,5,53.4,5,38.7,3,10.3,70.8
SN-A019,2025-05-23,52.0,5,64.6,8,0,0,25.0,60.5
SN-A019,2025-07-22,48.7,4,49.3,3,48.4,0,23.0,66.6
SN-A019,2025-08-07,40.8,2,62.4,10,34.3,0,17.4,72.0
SN-A019,2025-08-19,0,0,50.9,11,40.0,7,20.7,65.3
SN-A019,2025-09-23,53.7,5,56.2,10,34.6,1,18.9,77.8
SN-A019,2025-09-28,54.7,9,60.9,5,48.5,0,22.8,77.6
SN-A019,2025-10-05,41.6,1,58.0,3,31.5,8,10.5,73.7
SN-A019,2025-10-19,51.0,2,53.8,6,35.3,2,20.4,60.8
SN-A019,2025-11-01,0,0,52.4,1,45.7,2,15.8,73.0
SN-A019,2026-01-22,42.9,10,59.4,10,0,0,19.1,73.2
SN-A020,2025-01-08,0,0,0,0,0,0,0,0
SN-A020,2025-01-21,51.8,9,51.6,7,46.9,0,16.5,77.1
SN-A020,2025-01-22,37.4,7,58.6,8,36.8,0,20.3,76.9
SN-A020,2025-01-29,42.8,2,47.9,2,43.3,8,14.0,76.2
SN-A020,2025-02-23,0,0,62.7,5,41.4,0,24.6,79.2
SN-A020,2025-05-23,0,0,0,0,0,0,0,0
SN-A020,2025-06-01,46.8,1,62.4,9,50.0,2,14.8,70.1
SN-A020,2025-07-20,37.1,2,60.2,5,0,0,20.7,63.3
SN-A020,2025-08-04,46.3,6,58.4,12,35.3,4,11.6,66.7
SN-A020,2025-10-06,38.8,0,61.3,7,42.5,5,15.2,80.0
SN-A020,2025-10-21,35.9,1,61.6,7,45.4,7,23.0,74.0
SN-A020,2025-11-21,45.3,2,52.3,8,49.0,3,10.7,65.1
SN-A020,2025-11-29,39.2,9,56.6,9,48.3,4,14.9,77.9
SN-A020,2025-12-28,35.5,9,58.7,7,48.2,1,15.6,69.2
SN-A020,2025-12-30,38.2,9,62.6,12,49.7,7,24.2,77.1
SN-B001,2025-01-27,42.9,3,64.5,4,44.6,6,19.0,67.9
SN-B001,2025-02-20,0,0,0,0,0,0,0,0
SN-B001,2025-04-16,0,0,0,0,0,0,0,0
SN-B001,2025-04-21,51.0,1,50.8,2,33.9,4,11.5,62.1
SN-B001,2025-06-09,40.2,4,64.2,12,36.0,8,20.6,60.0
SN-B001,2025-06-14,0,0,0,0,0,0,0,0
SN-B001,2025-07-02,49.7,4,46.6,10,0,0,24.3,77.2
SN-B001,2025-09-04,49.3,8,53.3,2,39.5,7,13.4,69.4
SN-B001,2025-10-17,51.6,5,61.1,5,0,0,16.5,78.6
SN-B001,2025-12-29,48.1,6,0,0,46.2,4,18.9,69.9
SN-B001,2026-01-30,35.3,9,0,0,41.9,8,24.3,79.5
SN-B002,2025-01-11,50.9,8,46.2,7,30.0,5,10.6,63.4
SN-B002,2025-02-17,49.0,0,60.6,11,35.8,3,11.9,66.0
SN-B002,2025-05-02,0,0,58.3,11,44.5,1,12.7,64.1
SN-B002,2025-06-26,44.6,0,0,0,0,0,0,0
SN-B002,2025-06-29,45.5,6,54.3,2,36.6,3,10.9,74.3
SN-B002,2025-07-03,46.6,4,57.1,8,35.8,5,0,0
SN-B002,2025-07-07,52.8,6,55.1,11,36.9,3,0,0
SN-B002,2025-07-08,48.4,1,46.5,0,43.1,7,24.8,62.5
SN-B002,2025-07-29,45.1,8,61.8,12,38.1,8,21.4,63.0
SN-B002,2025-08-19,52.3,1,47.3,4,42.0,5,0,0
SN-B002,2025-08-30,45.6,10,52.6,7,0,0,15.8,64.3
SN-B002,2025-09-17,0,0,61.1,3,32.8,6,15.8,78.1
SN-B002,2025-10-22,38.4,4,47.3,3,41.8,4,19.6,79.7
SN-B002,2025-11-01,53.1,2,51.6,5,40.6,0,16.5,61.6
SN-B002,2025-11-24,38.3,8,0,0,30.0,8,24.7,76.8
SN-B003,2025-02-17,48.5,4,56.4,4,38.0,8,21.7,78.1
SN-B003,2025-02-23,38.0,5,58.6,5,35.4,0,24.0,61.8
SN-B003,2025-03-04,41.2,8,60.7,4,43.5,2,14.5,69.1
SN-B003,2025-03-13,44.1,9,61.5,0,46.7,1,0,0
SN-B003,2025-03-20,49.0,9,56.4,1,0,0,11.9,67.6
SN-B003,2025-04-09,0,0,56.7,3,44.8,2,23.1,62.0
SN-B003,2025-04-21,53.2,0,52.7,0,46.9,8,22.1,70.5
SN-B003,2025-05-15,39.4,9,54.2,10,48.9,6,24.4,70.4
SN-B003,2025-07-10,46.7,8,61.1,9,30.4,3,15.6,71.7
SN-B003,2025-08-15,50.8,8,48.8,2,36.1,0,14.9,71.1
SN-B003,2025-09-09,42.4,8,57.7,9,49.5,8,16.9,70.5
SN-B003,2025-09-22,42.8,4,64.4,11,37.1,3,16.6,72.0
SN-B003,2025-10-03,50.8,5,57.0,11,48.2,8,13.7,69.9
SN-B003,2025-10-09,42.0,9,63.0,11,38.8,0,21.9,67.2
SN-B003,2025-10-17,36.5,3,47.0,12,43.8,8,10.8,68.7
SN-B003,2025-10-18,48.1,6,56.7,12,47.9,8,16.7,75.9
SN-B003,2025-11-03,46.1,6,54.0,11,49.8,4,15.3,75.3
SN-B003,2025-12-27,35.8,3,51.5,1,0,0,14.4,64.7
SN-B004,2025-01-14,51.3,4,53.6,6,49.1,7,12.1,67.4
SN-B004,2025-01-24,35.8,0,58.4,4,38.9,5,20.4,74.4
SN-B004,2025-03-04,48.3,3,55.0,1,32.9,5,11.6,77.6
SN-B004,2025-03-10,42.2,7,51.8,2,33.9,2,23.7,67.6
SN-B004,2025-03-25,37.3,1,58.8,8,45.4,6,20.1,63.5
SN-B004,2025-05-15,52.5,1,59.8,9,33.6,4,14.2,61.2
SN-B004,2025-12-07,36.6,5,58.5,0,0,0,0,0
SN-B005,2025-01-07,54.2,10,63.6,0,44.7,5,22.0,79.0
SN-B005,2025-04-03,53.2,3,62.0,4,41.1,2,0,0
SN-B005,2025-04-13,42.7,0,50.9,10,33.5,3,13.0,73.0
SN-B005,2025-04-21,52.1,0,54.4,1,44.2,7,22.0,72.7
SN-B005,2025-05-04,55.0,5,58.6,5,47.4,6,18.6,60.9
SN-B005,2025-11-24,35.8,5,47.2,0,41.6,6,17.7,64.0
SN-B005,2025-12-11,48.2,9,46.6,6,40.0,2,24.6,74.7
SN-B005,2026-01-12,50.4,0,61.9,10,33.7,5,18.8,67.7
SN-B005,2026-02-01,50.7,6,45.9,2,0,0,15.7,68.8
SN-B006,2025-01-17,46.9,8,57.1,10,0,0,15.0,66.0
SN-B006,2025-02-11,36.5,7,64.7,10,49.6,1,0,0
SN-B006,2025-03-31,39.5,7,47.6,10,45.8,0,14.3,74.0
SN-B006,2025-05-01,46.2,5,54.3,0,32.3,0,15.5,73.0
SN-B006,2025-08-31,40.5,9,52.0,1,49.4,3,18.5,69.3
SN-B006,2025-09-14,51.7,4,48.7,4,49.9,4,11.8,79.0
SN-B006,2025-09-30,44.9,0,0,0,44.8,5,19.8,61.3
SN-B006,2025-12-29,54.0,6,51.4,0,32.9,0,18.6,61.4
SN-B006,2026-01-05,39.1,3,57.2,2,39.0,6,12.9,65.8
SN-B006,2026-01-13,0,0,0,0,0,0,0,0
SN-B006,2026-01-25,43.7,1,58.9,3,39.0,0,10.8,70.5
SN-B007,2025-04-17,35.3,10,56.5,5,37.0,6,21.5,74.3
SN-B007,2025-04-27,51.8,9,56.5,0,32.7,7,18.8,76.6
SN-B007,2025-08-20,0,0,59.1,9,46.5,0,19.2,78.1
SN-B007,2025-11-02,43.4,6,56.8,3,35.8,2,16.0,76.8
SN-B007,2025-11-14,47.6,0,52.5,10,40.8,3,21.6,79.8
SN-B007,2025-12-15,51.0,8,48.1,10,0,0,14.3,62.2
SN-B007,2025-12-17,39.6,1,64.0,3,41.5,4,18.6,60.2
SN-B007,2026-01-08,38.3,9,51.6,9,37.6,1,13.5,61.0
SN-B008,2025-01-10,36.8,0,64.9,1,36.4,1,14.2,64.7
SN-B008,2025-02-16,49.6,4,46.8,5,38.3,1,13.8,65.2
SN-B008,2025-03-15,53.3,7,56.9,10,41.1,8,12.3,67.2
SN-B008,2025-04-23,46.8,0,0,0,49.6,0,20.3,66.0
SN-B008,2025-05-05,54.8,6,55.7,3,37.8,4,21.7,75.8
SN-B008,2025-06-02,44.5,3,50.9,2,39.2,5,12.8,62.0
SN-B008,2025-06-23,37.4,10,58.5,5,40.6,3,20.1,75.9
SN-B008,2025-06-23,50.2,2,0,0,45.8,8,10.3,79.6
SN-B008,2025-07-23,50.4,9,55.5,1,34.3,1,21.9,64.6
SN-B008,2025-08-06,46.4,6,49.8,11,34.2,4,19.1,67.2
SN-B009,2025-02-17,48.8,2,0,0,38.2,2,22.1,67.0
SN-B009,2025-04-29,53.5,8,52.9,3,49.1,8,0,0
SN-B009,2025-08-28,52.0,1,61.0,9,41.6,3,13.3,66.4
SN-B009,2025-08-28,35.5,8,46.1,7,36.9,5,11.6,69.9
SN-B009,2025-09-23,49.7,10,55.6,8,41.9,3,14.5,62.2
SN-B009,2025-11-07,0,0,0,0,0,0,0,0
SN-B010,2025-01-24,36.6,2,62.6,0,40.3,1,18.1,61.5
SN-B010,2025-02-20,46.2,8,45.9,6,33.1,4,12.6,78.4
SN-B010,2025-03-27,35.5,10,54.5,6,34.0,2,11.7,65.2
SN-B010,2025-05-06,50.0,2,63.3,10,32.2,3,21.6,74.4
SN-B010,2025-07-16,43.8,10,61.9,12,43.1,2,20.9,62.4
SN-B010,2025-08-30,38.4,5,49.6,9,34.9,1,15.0,70.3
SN-B010,2025-09-10,49.4,7,62.4,10,37.9,6,20.2,71.5
SN-B010,2025-09-28,43.1,10,0,0,47.8,0,16.6,71.7
SN-B010,2025-11-27,53.6,1,59.8,12,41.2,3,19.5,75.8
SN-B010,2025-12-19,41.6,7,59.7,8,41.7,3,17.7,71.7
SN-B011,2025-01-02,52.7,2,57.7,1,36.0,6,13.7,60.8
SN-B011,2025-01-17,0,0,0,0,0,0,0,0
SN-B011,2025-02-26,47.4,3,63.8,0,48.0,8,21.8,73.7
SN-B011,2025-03-09,45.7,9,54.4,12,0,0,16.9,75.2
SN-B011,2025-05-09,49.3,9,52.6,8,32.6,5,21.9,68.6
SN-B011,2025-06-23,49.7,6,59.8,5,40.1,8,19.4,66.2
SN-B011,2025-12-06,46.9,1,53.4,12,40.4,1,15.4,70.6
SN-B012,2025-01-12,50.1,7,62.8,5,42.8,1,0,0
SN-B012,2025-02-08,37.1,8,0,0,37.3,0,18.5,78.5
SN-B012,2025-03-30,36.6,1,51.4,8,46.3,8,16.5,73.0
SN-B012,2025-04-09,54.8,1,55.7,2,48.8,6,11.7,63.7
SN-B012,2025-04-13,0,0,51.7,6,0,0,0,0
SN-B012,2025-04-19,48.4,3,59.7,5,0,0,0,0
SN-B012,2025-08-10,45.8,9,0,0,39.5,2,13.5,69.0
SN-B012,2025-08-14,40.6,10,0,0,34.4,7,11.5,79.0
SN-B012,2025-09-14,53.3,1,55.5,7,31.0,7,0,0
SN-B012,2025-11-05,52.0,8,61.2,10,49.9,4,0,0
SN-B012,2025-12-23,54.8,1,48.3,1,46.8,4,23.5,70.3
SN-B013,2025-03-07,0,0,0,0,0,0,0,0
SN-B013,2025-03-17,35.2,9,62.0,0,40.9,7,14.9,75.4
SN-B013,2025-08-20,0,0,0,0,38.2,5,22.2,60.3
SN-B013,2025-10-02,45.7,4,45.8,6,39.9,5,17.3,75.5
SN-B013,2025-11-11,49.0,0,52.7,6,33.7,6,19.0,67.9
SN-B013,2026-01-30,54.7,5,49.8,5,38.6,1,10.8,64.0
SN-B014,2025-01-19,49.6,4,61.8,10,0,0,10.6,73.2
SN-B014,2025-01-31,53.5,6,53.5,12,38.0,6,0,0
SN-B014,2025-07-15,35.3,3,52.1,4,47.2,8,14.1,68.4
SN-B014,2025-08-23,54.6,0,60.0,3,39.1,8,15.7,78.7
SN-B014,2025-10-05,36.6,5,64.4,8,48.7,2,21.6,77.6
SN-B014,2026-01-11,52.6,8,0,0,42.7,7,17.7,72.6
SN-B015,2025-01-31,0,0,0,0,0,0,0,0
SN-B015,2025-04-12,50.3,5,45.6,6,43.7,4,10.9,74.7
SN-B015,2025-05-13,0,0,62.8,2,0,0,20.7,74.3
SN-B015,2025-05-24,54.6,3,60.8,2,0,0,16.4,64.2
SN-B015,2025-07-19,50.4,0,56.4,6,48.4,8,18.4,73.4
